
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
ULIXEH	UXH00	*	1980-06-05T12:01:00.000	15.6783333	38.2503333	300954	120	140	1980-06-05T12:01:04.000	1	127	1	14.9	1	.326	1	262	1
									1980-06-05T12:06:04.000	1	127	1	14.9	1	.309	1	264	1
									1980-06-05T12:11:04.000	1	127	1	14.9	1	.274	1	267	1
									1980-06-05T12:16:04.000	1	127	1	14.8	1	.326	1	262	1
									1980-06-05T12:21:04.000	1	127	1	14.8	1	.317	1	270	1
									1980-06-05T12:26:04.000	1	127	1	14.8	1	.326	1	273	1
									1980-06-05T12:31:04.000	1	127	1	14.8	1	.305	1	278	1
									1980-06-05T12:36:04.000	1	127	1	14.7	1	.296	1	276	1
									1980-06-05T12:41:04.000	1	127	1	14.7	1	.313	1	276	1
									1980-06-05T12:46:04.000	1	127	1	14.8	1	.309	1	259	3
									1980-06-05T12:51:04.000	1	127	1	14.8	1	.279	1	270	1
									1980-06-05T12:56:04.000	1	127	1	14.8	1	.305	1	270	1
									1980-06-05T13:01:04.000	1	127	1	14.8	1	.305	1	256	1
									1980-06-05T13:06:04.000	1	127	1	14.8	1	.287	1	264	1
									1980-06-05T13:11:04.000	1	127	1	14.8	1	.274	1	245	3
									1980-06-05T13:16:04.000	1	127	1	14.7	1	.257	1	262	1
									1980-06-05T13:21:04.000	1	127	1	14.7	1	.261	1	259	1
									1980-06-05T13:26:04.000	1	127	1	14.7	1	.248	1	242	1
									1980-06-05T13:31:04.000	1	127	1	14.7	1	.248	1	242	1
									1980-06-05T13:36:04.000	1	127	1	14.7	1	.235	1	253	3
									1980-06-05T13:41:04.000	1	127	1	14.7	1	.218	1	233	1
									1980-06-05T13:46:04.000	1	127	1	14.8	1	.184	1	239	1
									1980-06-05T13:51:04.000	1	127	1	14.8	1	.21	1	253	1
									1980-06-05T13:56:04.000	1	127	1	14.8	1	.175	1	248	1
									1980-06-05T14:01:04.000	1	127	1	14.8	1	.136	1	253	1
									1980-06-05T14:06:04.000	1	127	1	14.8	1	.145	1	253	1
									1980-06-05T14:11:04.000	1	127	1	14.8	1	.132	1	278	3
									1980-06-05T14:16:04.000	1	127	1	14.8	1	.115	1	267	1
									1980-06-05T14:21:04.000	1	127	1	14.8	1	.141	1	273	1
									1980-06-05T14:26:04.000	1	127	1	14.7	1	.214	1	273	1
									1980-06-05T14:31:04.000	1	127	1	14.7	1	.231	1	267	1
									1980-06-05T14:36:04.000	1	127	1	14.7	1	.158	1	256	1
									1980-06-05T14:41:04.000	1	127	1	14.7	1	.145	1	253	1
									1980-06-05T14:46:04.000	1	127	1	14.7	1	.192	1	262	1
									1980-06-05T14:51:04.000	1	127	1	14.7	1	.235	1	267	1
									1980-06-05T14:56:04.000	1	127	1	14.7	1	.244	1	278	3
									1980-06-05T15:01:04.000	1	127	1	14.7	1	.175	1	256	1
									1980-06-05T15:06:04.000	1	127	1	14.7	1	.166	1	262	1
									1980-06-05T15:11:04.000	1	127	1	14.7	1	.175	1	304	1
									1980-06-05T15:16:04.000	1	127	1	14.7	1	.093	1	343	3
									1980-06-05T15:21:04.000	1	127	1	14.7	1	.102	1	284	1
									1980-06-05T15:26:04.000	1	127	1	14.7	1	.093	1	276	1
									1980-06-05T15:31:04.000	1	127	1	14.7	1	.08	1	264	1
									1980-06-05T15:36:04.000	1	127	1	14.7	1	.072	1	245	1
									1980-06-05T15:41:04.000	1	127	1	14.7	1	.046	1	205	3
									1980-06-05T15:46:04.000	1	127	1	14.7	1	.123	1	248	3
									1980-06-05T15:51:04.000	1	127	1	14.7	1	.115	1	231	1
									1980-06-05T15:56:04.000	1	127	1	14.7	1	.106	1	186	1
									1980-06-05T16:01:04.000	1	127	1	14.7	1	.093	1	143	1
									1980-06-05T16:06:04.000	1	127	1	14.6	1	.067	1	96	1
									1980-06-05T16:11:04.000	1	127	1	14.6	1	.067	1	84	1
									1980-06-05T16:16:04.000	1	127	1	14.7	1	.08	1	87	1
									1980-06-05T16:21:04.000	1	127	1	14.7	1	.059	1	93	1
									1980-06-05T16:26:04.000	1	127	1	14.7	1	.106	1	76	1
									1980-06-05T16:31:04.000	1	127	1	14.7	1	.106	1	65	1
									1980-06-05T16:36:04.000	1	127	1	14.8	1	.123	1	68	1
									1980-06-05T16:41:04.000	1	127	1	14.8	1	.162	1	65	1
									1980-06-05T16:46:04.000	1	127	1	14.8	1	.145	1	84	1
									1980-06-05T16:51:04.000	1	127	1	14.8	1	.179	1	115	3
									1980-06-05T16:56:04.000	1	127	1	14.7	1	.149	1	98	3
									1980-06-05T17:01:04.000	1	127	1	14.7	1	.153	1	115	1
									1980-06-05T17:06:04.000	1	127	1	14.7	1	.128	1	132	1
									1980-06-05T17:11:04.000	1	127	1	14.7	1	.076	1	129	1
									1980-06-05T17:16:04.000	1	127	1	14.7	1	.046	1	121	1
									1980-06-05T17:21:04.000	1	127	1	14.7	1	.041	1	343	3
									1980-06-05T17:26:04.000	1	127	1	14.7	1	.067	1	0	3
									1980-06-05T17:31:04.000	1	127	1	14.7	1	.158	1	329	3
									1980-06-05T17:36:04.000	1	127	1	14.7	1	.11	1	270	1
									1980-06-05T17:41:04.000	1	127	1	14.7	1	.059	1	225	3
									1980-06-05T17:46:04.000	1	127	1	14.7	1	.093	1	239	1
									1980-06-05T17:51:04.000	1	127	1	14.7	1	.063	1	242	1
									1980-06-05T17:56:04.000	1	127	1	14.7	1	.084	1	295	1
									1980-06-05T18:01:04.000	1	127	1	14.7	1	.05	1	343	3
									1980-06-05T18:06:04.000	1	127	1	14.7	1	.076	1	0	3
									1980-06-05T18:11:04.000	1	127	1	14.7	1	.059	1	25	3
									1980-06-05T18:16:04.000	1	127	1	14.7	1	.059	1	8	1
									1980-06-05T18:21:04.000	1	127	1	14.7	1	.05	1	6	1
									1980-06-05T18:26:04.000	1	127	1	14.8	1	.054	1	281	3
									1980-06-05T18:31:04.000	1	127	1	14.8	1	.05	1	267	1
									1980-06-05T18:36:04.000	1	127	1	14.8	1	.05	1	233	1
									1980-06-05T18:41:04.000	1	127	1	14.8	1	.041	1	149	1
