
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
ULIXEG	UXG00	*	1980-02-26T15:45:00.000	15.6366667	38.2545	300898	120	125	1980-02-26T15:45:00.000	1	35	1	13.9	1	.249	1	295	1
									1980-02-26T15:50:00.000	1	35	1	13.9	1	.283	1	273	3
									1980-02-26T15:55:00.000	1	35	1	13.9	1	.244	1	287	3
									1980-02-26T16:00:00.000	1	35	1	13.9	1	.331	1	253	3
									1980-02-26T16:05:00.000	1	35	1	13.9	1	.366	1	273	1
									1980-02-26T16:10:00.000	1	35	1	13.9	1	.396	1	270	1
									1980-02-26T16:15:00.000	1	35	1	14	1	.396	1	262	1
									1980-02-26T16:20:00.000	1	35	1	14.1	1	.405	1	253	1
									1980-02-26T16:25:00.000	1	35	1	14.1	1	.453	1	262	1
									1980-02-26T16:30:00.000	1	35	1	14	1	.518	1	259	1
									1980-02-26T16:35:00.000	1	35	1	14	1	.492	1	259	1
									1980-02-26T16:40:00.000	1	35	1	14	1	.54	1	256	1
									1980-02-26T16:45:00.000	1	35	1	14	1	.544	1	262	1
									1980-02-26T16:50:00.000	1	35	1	13.9	1	.613	1	264	1
									1980-02-26T16:55:00.000	1	35	1	13.9	1	.618	1	264	1
									1980-02-26T17:00:00.000	1	35	1	13.8	1	.626	1	276	3
									1980-02-26T17:05:00.000	1	35	1	13.8	1	.631	1	264	1
									1980-02-26T17:10:00.000	1	35	1	13.9	1	.652	1	267	1
									1980-02-26T17:15:00.000	1	35	1	13.9	1	.683	1	264	1
									1980-02-26T17:20:00.000	1	35	1	14	1	.678	1	267	1
									1980-02-26T17:25:00.000	1	35	1	14	1	.7	1	267	1
									1980-02-26T17:30:00.000	1	35	1	13.9	1	.722	1	273	1
									1980-02-26T17:35:00.000	1	35	1	13.9	1	.735	1	270	1
									1980-02-26T17:40:00.000	1	35	1	13.9	1	.761	1	273	1
									1980-02-26T17:45:00.000	1	35	1	13.9	1	.77	1	276	1
									1980-02-26T17:50:00.000	1	35	1	13.9	1	.787	1	278	1
									1980-02-26T17:55:00.000	1	35	1	13.9	1	.817	1	270	1
									1980-02-26T18:00:00.000	1	35	1	14	1	.83	1	284	1
									1980-02-26T18:05:00.000	1	35	1	14	1	.817	1	276	1
									1980-02-26T18:10:00.000	1	35	1	14	1	.848	1	273	1
									1980-02-26T18:15:00.000	1	35	1	14	1	.87	1	273	1
									1980-02-26T18:20:00.000	1	35	1	14	1	.835	1	270	1
									1980-02-26T18:25:00.000	1	35	1	14	1	.87	1	264	1
									1980-02-26T18:30:00.000	1	35	1	13.9	1	.839	1	262	1
									1980-02-26T18:35:00.000	1	35	1	13.9	1	.9	1	262	1
									1980-02-26T18:40:00.000	1	35	1	14	1	.952	1	270	1
									1980-02-26T18:45:00.000	1	35	1	14	1	.917	1	262	1
									1980-02-26T18:50:00.000	1	35	1	14	1	.826	1	270	1
									1980-02-26T18:55:00.000	1	35	1	14	1	.809	1	267	1
									1980-02-26T19:00:00.000	1	35	1	14.1	1	.909	1	264	1
									1980-02-26T19:05:00.000	1	35	1	14.1	1	.939	1	264	1
									1980-02-26T19:10:00.000	1	35	1	14	1	.865	1	267	1
									1980-02-26T19:15:00.000	1	35	1	14	1	.9	1	267	1
									1980-02-26T19:20:00.000	1	35	1	14	1	.861	1	267	1
									1980-02-26T19:25:00.000	1	35	1	14	1	.843	1	270	1
									1980-02-26T19:30:00.000	1	35	1	14	1	.809	1	276	1
									1980-02-26T19:35:00.000	1	35	1	14	1	.796	1	273	1
									1980-02-26T19:40:00.000	1	35	1	14.1	1	.77	1	273	1
									1980-02-26T19:45:00.000	1	35	1	14.1	1	.739	1	276	1
