
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	TotPressSeaFL [dbar]	QV:SEADATANET
ULIXEI	UXI00	*	1980-02-27T12:55:00.000	15.664	38.2583333	300904	120	235	1980-02-27T12:55:00.000	1	50	1	14.6	1	.523	1	90	1	50.4	1
									1980-02-27T13:00:00.000	1	50	1	14.5	1	.438	1	51	3	50.4	1
									1980-02-27T13:05:00.000	1	50	1	14.5	1	.267	1	113	3	50.4	1
									1980-02-27T13:10:00.000	1	50	1	14.6	1	.301	1	48	3	50.4	1
									1980-02-27T13:15:00.000	1	50	1	14.5	1	.249	1	68	1	50.4	1
									1980-02-27T13:20:00.000	1	50	1	14.5	1	.181	1	87	1	50.4	1
									1980-02-27T13:25:00.000	1	50	1	14.5	1	.095	1	346	3	50.4	1
									1980-02-27T13:30:00.000	1	50	1	14.5	1	.198	1	23	3	50.8	1
									1980-02-27T13:35:00.000	1	50	1	14.5	1	.267	1	343	1	50.8	1
									1980-02-27T13:40:00.000	1	50	1	14.5	1	.249	1	346	1	50.8	1
									1980-02-27T13:45:00.000	1	50	1	14.5	1	.284	1	23	3	50.8	1
									1980-02-27T13:50:00.000	1	50	1	14.5	1	.352	1	45	3	50.8	1
									1980-02-27T13:55:00.000	1	50	1	14.4	1	.335	1	23	1	50.8	1
									1980-02-27T14:00:00.000	1	50	1	14.4	1	.352	1	20	1	50.8	1
									1980-02-27T14:05:00.000	1	50	1	14.4	1	.369	1	23	1	50.8	1
									1980-02-27T14:10:00.000	1	50	1	14.4	1	.369	1	28	1	51.2	1
									1980-02-27T14:15:00.000	1	50	1	14.4	1	.403	1	39	1	51.2	1
									1980-02-27T14:20:00.000	1	50	1	14.4	1	.403	1	37	1	51.2	1
									1980-02-27T14:25:00.000	1	50	1	14.4	1	.421	1	51	1	51.2	1
									1980-02-27T14:30:00.000	1	50	1	14.4	1	.386	1	51	1	51.2	1
									1980-02-27T14:35:00.000	1	50	1	14.4	1	.386	1	59	1	51.2	1
									1980-02-27T14:40:00.000	1	50	1	14.4	1	.403	1	53	1	51.2	1
									1980-02-27T14:45:00.000	1	50	1	14.4	1	.335	1	59	1	51.6	1
									1980-02-27T14:50:00.000	1	50	1	14.4	1	.369	1	56	1	51.2	1
									1980-02-27T14:55:00.000	1	50	1	14.4	1	.352	1	65	1	51.2	1
									1980-02-27T15:00:00.000	1	50	1	14.5	1	.335	1	73	1	50.8	1
									1980-02-27T15:05:00.000	1	50	1	14.5	1	.318	1	65	1	50.8	1
									1980-02-27T15:10:00.000	1	50	1	14.4	1	.318	1	62	1	50.8	1
									1980-02-27T15:15:00.000	1	50	1	14.5	1	.301	1	68	1	50.8	1
									1980-02-27T15:20:00.000	1	50	1	14.5	1	.267	1	59	1	50.8	1
