
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET
MAMES2	MM200	*	1979-08-16T15:35:00.000	15.5758333	38.213	301495	120	184	1979-08-16T15:35:00.000	1	184	1	.086	1	346	1
									1979-08-16T15:50:00.000	1	184	1	.083	1	273	1
									1979-08-16T16:05:00.000	1	184	1	.127	1	270	1
									1979-08-16T16:20:00.000	1	184	1	.054	1	93	3
									1979-08-16T16:35:00.000	1	184	1	.063	1	107	1
									1979-08-16T16:50:00.000	1	184	1	.124	1	118	3
									1979-08-16T17:05:00.000	1	184	1	.124	1	45	3
									1979-08-16T17:20:00.000	1	184	1	.109	1	65	1
									1979-08-16T17:35:00.000	1	184	1	.188	1	115	1
									1979-08-16T17:50:00.000	1	184	1	.275	1	273	1
									1979-08-16T18:05:00.000	1	184	1	.237	1	290	3
									1979-08-16T18:20:00.000	1	184	1	.121	1	172	1
									1979-08-16T18:35:00.000	1	184	1	.167	1	101	3
									1979-08-16T18:50:00.000	1	184	1	.348	1	312	1
									1979-08-16T19:05:00.000	1	184	1	.269	1	343	3
									1979-08-16T19:20:00.000	1	184	1	.217	1	304	1
									1979-08-16T19:35:00.000	1	184	1	.255	1	312	1
									1979-08-16T19:50:00.000	1	184	1	.432	1	304	1
									1979-08-16T20:05:00.000	1	184	1	.353	1	312	1
									1979-08-16T20:20:00.000	1	184	1	.38	1	338	3
									1979-08-16T20:35:00.000	1	184	1	.397	1	309	1
									1979-08-16T20:50:00.000	1	184	1	.371	1	284	1
									1979-08-16T21:05:00.000	1	184	1	.353	1	290	1
									1979-08-16T21:20:00.000	1	184	1	.243	1	307	1
									1979-08-16T21:35:00.000	1	184	1	.191	1	312	1
									1979-08-16T21:50:00.000	1	184	1	.144	1	312	1
									1979-08-16T22:05:00.000	1	184	1	.161	1	357	3
									1979-08-16T22:20:00.000	1	184	1	.159	1	318	1
									1979-08-16T22:35:00.000	1	184	1	.057	1	264	1
									1979-08-16T22:50:00.000	1	184	1	0	1	0	3
									1979-08-16T23:05:00.000	1	184	1	0	1	194	1
									1979-08-16T23:20:00.000	1	184	1	0	1	197	1
									1979-08-16T23:35:00.000	1	184	1	.054	1	11	3
									1979-08-16T23:50:00.000	1	184	1	.042	1	68	1
									1979-08-17T00:05:00.000	1	184	1	.068	1	143	1
									1979-08-17T00:20:00.000	1	184	1	.031	1	163	1
									1979-08-17T00:35:00.000	1	184	1	.057	1	278	1
									1979-08-17T00:50:00.000	1	184	1	.089	1	284	1
									1979-08-17T01:05:00.000	1	184	1	.071	1	307	3
									1979-08-17T01:20:00.000	1	184	1	.097	1	290	3
									1979-08-17T01:35:00.000	1	184	1	.115	1	307	3
									1979-08-17T01:50:00.000	1	184	1	.109	1	290	1
									1979-08-17T02:05:00.000	1	184	1	.103	1	290	1
									1979-08-17T02:20:00.000	1	184	1	.109	1	287	1
									1979-08-17T02:35:00.000	1	184	1	.115	1	90	3
									1979-08-17T02:50:00.000	1	184	1	.124	1	273	1
									1979-08-17T03:05:00.000	1	184	1	.118	1	287	1
									1979-08-17T03:20:00.000	1	184	1	.115	1	278	1
									1979-08-17T03:35:00.000	1	184	1	.135	1	284	1
									1979-08-17T03:50:00.000	1	184	1	.144	1	284	1
									1979-08-17T04:05:00.000	1	184	1	.121	1	287	1
									1979-08-17T04:20:00.000	1	184	1	.054	1	160	1
									1979-08-17T04:35:00.000	1	184	1	.086	1	48	1
									1979-08-17T04:50:00.000	1	184	1	.127	1	23	3
									1979-08-17T05:05:00.000	1	184	1	.138	1	79	1
									1979-08-17T05:20:00.000	1	184	1	.147	1	135	1
									1979-08-17T05:35:00.000	1	184	1	.135	1	312	1
									1979-08-17T05:50:00.000	1	184	1	.121	1	332	3
									1979-08-17T06:05:00.000	1	184	1	.109	1	14	3
									1979-08-17T06:20:00.000	1	184	1	.161	1	82	3
									1979-08-17T06:35:00.000	1	184	1	.179	1	48	3
									1979-08-17T06:50:00.000	1	184	1	.095	1	318	1
									1979-08-17T07:05:00.000	1	184	1	.141	1	346	1
									1979-08-17T07:20:00.000	1	184	1	.092	1	340	1
									1979-08-17T07:35:00.000	1	184	1	.039	1	3	3
									1979-08-17T07:50:00.000	1	184	1	.17	1	37	1
									1979-08-17T08:05:00.000	1	184	1	.153	1	180	1
									1979-08-17T08:20:00.000	1	184	1	.156	1	186	1
									1979-08-17T08:35:00.000	1	184	1	.129	1	8	1
									1979-08-17T08:50:00.000	1	184	1	.089	1	3	1
									1979-08-17T09:05:00.000	1	184	1	.063	1	200	1
									1979-08-17T09:20:00.000	1	184	1	.109	1	194	1
									1979-08-17T09:35:00.000	1	184	1	.153	1	194	1
									1979-08-17T09:50:00.000	1	184	1	.132	1	186	1
									1979-08-17T10:05:00.000	1	184	1	.124	1	3	3
									1979-08-17T10:20:00.000	1	184	1	.129	1	183	1
									1979-08-17T10:35:00.000	1	184	1	.156	1	186	1
									1979-08-17T10:50:00.000	1	184	1	.118	1	183	1
									1979-08-17T11:05:00.000	1	184	1	.153	1	188	1
									1979-08-17T11:20:00.000	1	184	1	.182	1	183	1
									1979-08-17T11:35:00.000	1	184	1	.156	1	0	1
									1979-08-17T11:50:00.000	1	184	1	.135	1	3	1
									1979-08-17T12:05:00.000	1	184	1	.097	1	6	1
									1979-08-17T12:20:00.000	1	184	1	.063	1	183	3
									1979-08-17T12:35:00.000	1	184	1	.025	1	0	3
									1979-08-17T12:50:00.000	1	184	1	0	1	205	1
									1979-08-17T13:05:00.000	1	184	1	0	1	236	1
									1979-08-17T13:20:00.000	1	184	1	.028	1	321	1
									1979-08-17T13:35:00.000	1	184	1	.089	1	329	1
									1979-08-17T13:50:00.000	1	184	1	.127	1	340	1
									1979-08-17T14:05:00.000	1	184	1	.17	1	338	1
									1979-08-17T14:20:00.000	1	184	1	.15	1	357	3
									1979-08-17T14:35:00.000	1	184	1	.141	1	295	3
									1979-08-17T14:50:00.000	1	184	1	.124	1	335	1
									1979-08-17T15:05:00.000	1	184	1	.121	1	357	1
									1979-08-17T15:20:00.000	1	184	1	.138	1	357	1
									1979-08-17T15:35:00.000	1	184	1	.141	1	304	1
									1979-08-17T15:50:00.000	1	184	1	.132	1	312	1
									1979-08-17T16:05:00.000	1	184	1	.112	1	287	1
									1979-08-17T16:20:00.000	1	184	1	.144	1	287	1
									1979-08-17T16:35:00.000	1	184	1	.106	1	278	1
									1979-08-17T16:50:00.000	1	184	1	.115	1	281	1
									1979-08-17T17:05:00.000	1	184	1	.1	1	278	1
									1979-08-17T17:20:00.000	1	184	1	.138	1	273	1
									1979-08-17T17:35:00.000	1	184	1	.15	1	98	1
									1979-08-17T17:50:00.000	1	184	1	.156	1	93	1
									1979-08-17T18:05:00.000	1	184	1	.129	1	104	1
