
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [yyyy-mm-ddThh:mm:ss.sss]	QV:SEADATANET	DepBelowSurface [m]	QV:SEADATANET	UnspCurrSpd [m/s]	QV:SEADATANET	UnspCurrDir [deg]	QV:SEADATANET	Temp [degC]	QV:SEADATANET	Cond [S/m]	QV:SEADATANET
MTPII-MATER/I1_D_2279	I1000	*	1998-08-24T07:00:00.000	17.9903333	38.4678333	327567	120	2379	1998-08-24T07:00:00.000	0	2279	1	.009	0	269	0	13.89	0		9
									1998-08-24T08:00:00.000	0	2279	1	.006	0	261	0	13.88	0		9
									1998-08-24T09:00:00.000	0	2279	1	.01	0	273	0	13.88	0		9
									1998-08-24T10:00:00.000	0	2279	1	.01	0	295	0	13.88	0		9
									1998-08-24T11:00:00.000	0	2279	1	.01	0	314	0	13.88	0		9
									1998-08-24T12:00:00.000	0	2279	1	.01	0	333	0	13.88	0		9
									1998-08-24T13:00:00.000	0	2279	1	.01	0	338	0	13.87	0		9
									1998-08-24T14:00:00.000	0	2279	1	.01	0	341	0	13.88	0		9
									1998-08-24T15:00:00.000	0	2279	1	.01	0	344	0	13.88	0		9
									1998-08-24T16:00:00.000	0	2279	1	.01	0	340	0	13.87	0		9
									1998-08-24T17:00:00.000	0	2279	1	.01	0	342	0	13.87	0		9
									1998-08-24T18:00:00.000	0	2279	1	.01	0	341	0	13.87	0		9
									1998-08-24T19:00:00.000	0	2279	1	.01	0	345	0	13.87	0		9
									1998-08-24T20:00:00.000	0	2279	1	.01	0	282	0	13.87	0		9
									1998-08-24T21:00:00.000	0	2279	1	.01	0	275	0	13.87	0		9
									1998-08-24T22:00:00.000	0	2279	1	.01	0	279	0	13.88	0		9
									1998-08-24T23:00:00.000	0	2279	1	.01	0	277	0	13.88	0		9
									1998-08-25T00:00:00.000	0	2279	1	.01	0	280	0	13.87	0		9
									1998-08-25T01:00:00.000	0	2279	1	.01	0	289	0	13.87	0		9
									1998-08-25T02:00:00.000	0	2279	1	.01	0	296	0	13.87	0		9
									1998-08-25T03:00:00.000	0	2279	1	.01	0	307	0	13.87	0		9
									1998-08-25T04:00:00.000	0	2279	1	.01	0	317	0	13.87	0		9
									1998-08-25T05:00:00.000	0	2279	1	.01	0	327	0	13.88	0		9
									1998-08-25T06:00:00.000	0	2279	1	.01	0	335	0	13.87	0		9
									1998-08-25T07:00:00.000	0	2279	1	.01	0	346	0	13.88	0		9
									1998-08-25T08:00:00.000	0	2279	1	.01	0	355	0	13.87	0		9
									1998-08-25T09:00:00.000	0	2279	1	.01	0	3	0	13.87	0		9
									1998-08-25T10:00:00.000	0	2279	1	.01	0	359	0	13.87	0		9
									1998-08-25T11:00:00.000	0	2279	1	.01	0	354	0	13.88	0		9
									1998-08-25T12:00:00.000	0	2279	1	.01	0	356	0	13.87	0		9
									1998-08-25T13:00:00.000	0	2279	1	.01	0	356	0	13.87	0		9
									1998-08-25T14:00:00.000	0	2279	1	.01	0	357	0	13.87	0		9
									1998-08-25T15:00:00.000	0	2279	1	.01	0	356	0	13.87	0		9
									1998-08-25T16:00:00.000	0	2279	1	.01	0	355	0	13.87	0		9
									1998-08-25T17:00:00.000	0	2279	1	.01	0	346	0	13.87	0		9
									1998-08-25T18:00:00.000	0	2279	1	.01	0	332	0	13.87	0		9
									1998-08-25T19:00:00.000	0	2279	1	.01	0	320	0	13.88	0		9
									1998-08-25T20:00:00.000	0	2279	1	.01	0	319	0	13.87	0		9
									1998-08-25T21:00:00.000	0	2279	1	.01	0	329	0	13.87	0		9
									1998-08-25T22:00:00.000	0	2279	1	.01	0	338	0	13.88	0		9
									1998-08-25T23:00:00.000	0	2279	1	.01	0	346	0	13.87	0		9
									1998-08-26T00:00:00.000	0	2279	1	.01	0	347	0	13.87	0		9
									1998-08-26T01:00:00.000	0	2279	1	.01	0	350	0	13.87	0		9
									1998-08-26T02:00:00.000	0	2279	1	.01	0	353	0	13.88	0		9
									1998-08-26T03:00:00.000	0	2279	1	.01	0	356	0	13.87	0		9
									1998-08-26T04:00:00.000	0	2279	1	.01	0	1	0	13.87	0		9
									1998-08-26T05:00:00.000	0	2279	1	.01	0	1	0	13.87	0		9
									1998-08-26T06:00:00.000	0	2279	1	.01	0	9	0	13.87	0		9
									1998-08-26T07:00:00.000	0	2279	1	.01	0	17	0	13.87	0		9
									1998-08-26T08:00:00.000	0	2279	1	.01	0	21	0	13.87	0		9
									1998-08-26T09:00:00.000	0	2279	1	.01	0	18	0	13.87	0		9
									1998-08-26T10:00:00.000	0	2279	1	.01	0	16	0	13.88	0		9
									1998-08-26T11:00:00.000	0	2279	1	.01	0	14	0	13.88	0		9
									1998-08-26T12:00:00.000	0	2279	1	.01	0	13	0	13.87	0		9
									1998-08-26T13:00:00.000	0	2279	1	.01	0	11	0	13.87	0		9
									1998-08-26T14:00:00.000	0	2279	1	.01	0	5	0	13.87	0		9
									1998-08-26T15:00:00.000	0	2279	1	.01	0	352	0	13.88	0		9
									1998-08-26T16:00:00.000	0	2279	1	.01	0	336	0	13.87	0		9
									1998-08-26T17:00:00.000	0	2279	1	.01	0	334	0	13.88	0		9
									1998-08-26T18:00:00.000	0	2279	1	.01	0	342	0	13.88	0		9
									1998-08-26T19:00:00.000	0	2279	1	.01	0	344	0	13.87	0		9
									1998-08-26T20:00:00.000	0	2279	1	.01	0	343	0	13.87	0		9
									1998-08-26T21:00:00.000	0	2279	1	.01	0	343	0	13.87	0		9
									1998-08-26T22:00:00.000	0	2279	1	.01	0	346	0	13.88	0		9
									1998-08-26T23:00:00.000	0	2279	1	.01	0	354	0	13.87	0		9
									1998-08-27T00:00:00.000	0	2279	1	.01	0	355	0	13.87	0		9
									1998-08-27T01:00:00.000	0	2279	1	.01	0	356	0	13.87	0		9
									1998-08-27T02:00:00.000	0	2279	1	.01	0	2	0	13.87	0		9
									1998-08-27T03:00:00.000	0	2279	1	.01	0	9	0	13.87	0		9
									1998-08-27T04:00:00.000	0	2279	1	.01	0	10	0	13.87	0		9
									1998-08-27T05:00:00.000	0	2279	1	.01	0	12	0	13.87	0		9
									1998-08-27T06:00:00.000	0	2279	1	.01	0	13	0	13.87	0		9
									1998-08-27T07:00:00.000	0	2279	1	.01	0	17	0	13.88	0		9
									1998-08-27T08:00:00.000	0	2279	1	.01	0	17	0	13.87	0		9
									1998-08-27T09:00:00.000	0	2279	1	.01	0	11	0	13.87	0		9
									1998-08-27T10:00:00.000	0	2279	1	.01	0	359	0	13.87	0		9
									1998-08-27T11:00:00.000	0	2279	1	.01	0	354	0	13.88	0		9
									1998-08-27T12:00:00.000	0	2279	1	.01	0	351	0	13.87	0		9
