//
//<sdn_reference xlink:href="https://cdi.seadatanet.org/report/edmo/269/GN36200801KAL_00003_269_D90" xlink:role="isDescribedBy" xlink:type="SDN:L23::CDI" sdn:scope="269:GN36200801KAL_00003_269_D90"/>
//SDN_parameter_mapping
//<subject>SDN:LOCAL:time_ISO8601</subject><object>SDN:P01::DTUT8601</object><units>SDN:P06::TISO</units>
//<subject>SDN:LOCAL:DEPH</subject><object>SDN:P01::ADEPZZ01</object><units>SDN:P06::ULAA</units>
//<subject>SDN:LOCAL:HCSP</subject><object>SDN:P01::LCSAZZ01</object><units>SDN:P06::UVAA</units>
//<subject>SDN:LOCAL:HCDT</subject><object>SDN:P01::LCDAZZ01</object><units>SDN:P06::UAAA</units>
//<subject>SDN:LOCAL:CNDC</subject><object>SDN:P01::CNDCZZ01</object><units>SDN:P06::UECA</units>
//<subject>SDN:LOCAL:PSAL</subject><object>SDN:P01::PSLTZZ01</object><units>SDN:P06::UUUU</units>
//<subject>SDN:LOCAL:TEMP</subject><object>SDN:P01::TEMPPR01</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:DOX1</subject><object>SDN:P01::DOXYZZXX</object><units>SDN:P06::UMLL</units>
//<subject>SDN:LOCAL:CPH1</subject><object>SDN:P01::CPHLZZXX</object><units>SDN:P06::UMMC</units>
//
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	CNDC [mho/meter]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00003	*	2008-01-01T00:00:00.000	+22.093667	+36.971333	GN36200801KAL_00003_269_D90	269	340.0	2008-01-01T00:00:00.000	1	0003	1	11.719	1	356.133	1		9		9	16.865	1		9	0.117	1
									2008-01-01T03:00:00.000	1	0003	1	12.305	1	331.875	1		9		9	16.890	1		9	0.127	1
									2008-01-01T06:00:00.000	1	0003	1	12.598	1	332.578	1		9		9	16.938	1		9	0.117	1
									2008-01-01T09:00:00.000	1	0003	1	9.375	1	322.383	1		9		9	16.938	1		9	0.107	1
									2008-01-01T12:00:00.000	1	0003	1	2.637	1	261.562	3		9		9	16.987	1		9	0.107	1
									2008-01-01T15:00:00.000	1	0003	1	4.980	1	50.625	3		9		9	16.987	1		9	0.146	1
									2008-01-01T18:00:00.000	1	0003	1	1.758	1	323.789	1		9		9	16.987	1		9	0.098	1
									2008-01-01T21:00:00.000	1	0003	1	7.617	1	306.562	1		9		9	16.938	1		9	0.098	1
									2008-01-02T00:00:00.000	1	0003	1	9.668	1	332.227	1		9		9	16.938	1		9	0.098	1
									2008-01-02T03:00:00.000	1	0003	1	4.102	1	1.406	1		9		9	16.914	1		9	0.098	1
									2008-01-02T06:00:00.000	1	0003	1	5.566	1	11.250	1		9		9	16.914	1		9	0.098	1
									2008-01-02T09:00:00.000	1	0003	1	2.051	1	332.227	1		9		9	16.890	1		9	0.098	1
									2008-01-02T12:00:00.000	1	0003	1	4.688	1	337.852	1		9		9	16.914	1		9	0.107	1
									2008-01-02T15:00:00.000	1	0003	1	3.223	1	315.000	1		9		9	16.914	1		9	0.107	1
									2008-01-02T18:00:00.000	1	0003	1	1.465	1	300.234	1		9		9	16.890	1		9	0.098	1
									2008-01-02T21:00:00.000	1	0003	1	3.223	1	334.336	1		9		9	16.890	1		9	0.098	1
									2008-01-03T00:00:00.000	1	0003	1	4.395	1	311.484	1		9		9	16.865	1		9	0.098	1
