
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	CNDC [mho/meter]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00003	*	2008-11-01T00:00:00.000	+22.093667	+36.971333	GN36200811KAL_00003_269_D90	269	340.0	2008-11-01T00:00:00.000	1	0003	1	10.254	1	320.625	3		9	35.498	1	21.919	1		9		9
									2008-11-01T03:00:00.000	1	0003	1	21.973	1	153.281	3		9	35.674	1	21.992	1		9		9
									2008-11-01T06:00:00.000	1	0003	1	18.750	1	185.273	3		9	33.945	1	22.017	1		9		9
									2008-11-01T09:00:00.000	1	0003	1	27.539	1	11.602	3		9	34.922	1	22.188	1		9		9
									2008-11-01T12:00:00.000	1	0003	1	19.629	1	30.234	3		9	33.750	1	22.285	1		9		9
									2008-11-01T15:00:00.000	1	0003	1	22.266	1	178.594	3		9	36.133	1	22.188	1		9		9
									2008-11-01T18:00:00.000	1	0003	1	24.609	1	204.961	3		9	37.051	1	22.236	1		9		9
									2008-11-01T21:00:00.000	1	0003	1	20.215	1	74.883	3		9	35.635	1	22.065	1		9		9
									2008-11-02T00:00:00.000	1	0003	1	1.758	3	20.391	3		9	36.426	1	22.139	1		9		9
									2008-11-02T03:00:00.000	1	0003	1	24.902	1	284.766	3		9	35.566	1	22.236	1		9		9
									2008-11-02T06:00:00.000	1	0003	1	28.711	1	315.703	1		9	36.035	1	22.236	1		9		9
									2008-11-02T09:00:00.000	1	0003	1	34.277	1	297.422	1		9	33.643	1	22.212	1		9		9
									2008-11-02T12:00:00.000	1	0003	1	23.438	1	235.547	1		9	34.053	1	22.212	1		9		9
									2008-11-02T15:00:00.000	1	0003	1	13.770	1	236.953	1		9	35.625	1	22.163	1		9		9
									2008-11-02T18:00:00.000	1	0003	1	19.922	1	229.922	1		9	34.150	1	22.285	1		9		9
									2008-11-02T21:00:00.000	1	0003	1	23.730	1	121.289	3		9	34.053	1	22.065	1		9		9
