
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00001	*	2009-03-01T00:00:00.000	+21.596000	+36.825500	GN36200903PYL_00001_269_D90	269	1681.0	2009-03-01T00:00:00.000	1	0001	1		9		9	38.086	1	14.863	1		9		9
									2009-03-01T03:00:00.000	1	0001	1	3.223	1	142.383	1	38.086	1	14.912	1		9		9
									2009-03-01T06:00:00.000	1	0001	1	4.688	1	126.211	1	38.066	1	14.863	1		9		9
									2009-03-01T09:00:00.000	1	0001	1	7.031	1	165.234	1	38.018	1	14.863	1		9		9
									2009-03-01T12:00:00.000	1	0001	1	4.395	1	174.727	1	38.027	1	15.034	1		9		9
									2009-03-01T15:00:00.000	1	0001	1	8.203	1	149.766	1	38.008	1	15.059	1		9		9
									2009-03-01T18:00:00.000	1	0001	1	7.324	1	196.523	1	38.008	1	14.937	1		9		9
									2009-03-01T21:00:00.000	1	0001	1	8.203	1	226.055	1	37.910	1	14.717	1		9		9
									2009-03-02T00:00:00.000	1	0001	1	12.598	1	238.711	1	37.861	1	14.570	1		9		9
									2009-03-02T03:00:00.000	1	0001	1	13.184	1	249.609	1	37.861	1	14.570	1		9		9
									2009-03-02T06:00:00.000	1	0001	1	10.254	1	246.094	1	37.861	1	14.521	1		9		9
									2009-03-02T09:00:00.000	1	0001	1	7.324	1	226.758	1	37.910	1	15.083	1		9		9
									2009-03-02T12:00:00.000	1	0001	1		9		9	37.939	1	16.060	1		9		9
									2009-03-02T15:00:00.000	1	0001	1	8.203	1	208.125	1	37.900	1	15.303	1		9		9
									2009-03-02T18:00:00.000	1	0001	1	19.043	1	217.266	1	37.744	1	14.766	1		9		9
									2009-03-02T21:00:00.000	1	0001	1	12.598	1	229.922	1	37.734	1	14.448	1		9		9
									2009-03-03T00:00:00.000	1	0001	1	12.012	1	219.727	1	37.744	1	14.473	1		9		9
									2009-03-03T03:00:00.000	1	0001	1	14.355	1	216.562	1	37.764	1	14.497	1		9		9
									2009-03-03T06:00:00.000	1	0001	1	10.254	1	210.234	1	37.764	1	14.473	1		9		9
									2009-03-03T09:00:00.000	1	0001	1	15.820	1	217.266	1	37.783	1	14.790	1		9		9
									2009-03-03T12:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-03T15:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-03T18:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-03T21:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T00:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T03:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T06:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T09:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T12:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T15:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T18:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-04T21:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T00:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T03:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T06:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T09:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T12:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T15:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T18:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-05T21:00:00.000	1	0001	1		9		9		9		9		9		9
									2009-03-06T00:00:00.000	1	0001	1	19.336	1	201.445	1	37.314	1	14.961	1		9		9
									2009-03-06T03:00:00.000	1	0001	1	19.922	1	185.977	1	37.266	1	14.985	1		9		9
									2009-03-06T06:00:00.000	1	0001	1	21.680	1	195.117	1	37.451	1	14.961	1		9		9
									2009-03-06T09:00:00.000	1	0001	1	16.406	1	210.938	1	37.275	1	14.961	1		9		9
									2009-03-06T12:00:00.000	1	0001	1	7.031	1	163.125	1	37.266	1	14.985	1		9		9
									2009-03-06T15:00:00.000	1	0001	1	20.215	1	152.578	1	37.256	1	15.010	1		9		9
									2009-03-06T18:00:00.000	1	0001	1	24.316	1	153.984	1	37.168	1	14.937	1		9		9
									2009-03-06T21:00:00.000	1	0001	1	25.781	1	152.227	1	37.383	1	14.888	1		9		9
									2009-03-07T00:00:00.000	1	0001	1	28.711	1	158.906	1	37.383	1	14.888	1		9		9
									2009-03-07T03:00:00.000	1	0001	1	24.316	1	161.367	1	37.285	1	14.912	1		9		9
									2009-03-07T06:00:00.000	1	0001	1	20.508	1	162.422	1	37.275	1	14.888	1		9		9
									2009-03-07T09:00:00.000	1	0001	1	14.941	1	174.727	1	37.139	1	14.912	1		9		9
									2009-03-07T12:00:00.000	1	0001	1	15.820	1	193.359	1	37.295	1	14.888	1		9		9
									2009-03-07T15:00:00.000	1	0001	1	7.910	1	163.125	1	37.168	1	14.888	1		9		9
									2009-03-07T18:00:00.000	1	0001	1	19.629	1	149.414	1	37.217	1	14.839	1		9		9
									2009-03-07T21:00:00.000	1	0001	1	29.297	1	166.641	1	37.119	1	14.839	1		9		9
									2009-03-08T00:00:00.000	1	0001	1	23.730	1	191.250	1	37.158	1	14.863	1		9		9
									2009-03-08T03:00:00.000	1	0001	1	20.215	1	206.016	1	37.148	1	14.863	1		9		9
									2009-03-08T06:00:00.000	1	0001	1	19.629	1	193.359	1	37.168	1	14.839	1		9		9
