
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	CNDC [mho/meter]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00003	*	2010-04-01T00:00:00.000	+20.601000	+37.948833	GN36201004ZAK_00003_269_D90	269	313.0	2010-04-01T00:00:00.000	1	0003	1	10.181	1	234.580	1		9	37.517	1	15.834	1		9		9
									2010-04-01T03:00:00.000	1	0003	1	22.705	1	266.748	3		9	37.605	1	15.834	1		9		9
									2010-04-01T06:00:00.000	1	0003	1	17.871	1	71.016	3		9	37.502	1	15.736	1		9		9
									2010-04-01T09:00:00.000	1	0003	1	18.164	1	149.941	1		9	37.432	1	15.803	1		9		9
									2010-04-01T12:00:00.000	1	0003	1	25.562	1	189.229	3		9	37.517	1	15.944	1		9		9
									2010-04-01T15:00:00.000	1	0003	1	13.330	1	287.930	3		9	37.517	1	15.944	1		9		9
									2010-04-01T18:00:00.000	1	0003	1	28.491	1	8.701	3		9	37.517	1	15.944	1		9		9
									2010-04-01T21:00:00.000	1	0003	1	23.511	1	56.074	1		9	37.261	1	15.803	1		9		9
									2010-04-02T00:00:00.000	1	0003	1	27.319	1	65.303	1		9	37.361	1	15.815	1		9		9
									2010-04-02T03:00:00.000	1	0003	1	26.221	1	358.242	3		9	37.417	1	15.791	1		9		9
									2010-04-02T06:00:00.000	1	0003	1	17.505	1	297.861	1		9	37.395	1	15.736	1		9		9
									2010-04-02T09:00:00.000	1	0003	1	16.553	1	300.146	1		9	37.429	1	15.840	1		9		9
									2010-04-02T12:00:00.000	1	0003	1	27.100	1	333.281	1		9	37.251	1	16.017	1		9		9
									2010-04-02T15:00:00.000	1	0003	1	19.629	1	304.805	1		9	37.239	1	15.938	1		9		9
									2010-04-02T18:00:00.000	1	0003	1	28.857	1	338.203	1		9	37.251	1	15.791	1		9		9
									2010-04-02T21:00:00.000	1	0003	1	22.266	1	11.953	1		9	37.263	1	15.736	1		9		9
									2010-04-03T00:00:00.000	1	0003	1	16.699	1	328.184	1		9	37.285	1	15.730	1		9		9
									2010-04-03T03:00:00.000	1	0003	1	11.646	1	300.938	1		9	37.319	1	15.712	1		9		9
									2010-04-03T06:00:00.000	1	0003	1	18.237	1	307.441	1		9	37.319	1	15.681	1		9		9
									2010-04-03T09:00:00.000	1	0003	1	23.950	1	355.957	1		9	37.375	1	15.742	1		9		9
									2010-04-03T12:00:00.000	1	0003	1	27.173	1	355.781	1		9	37.422	1	15.883	1		9		9
									2010-04-03T15:00:00.000	1	0003	1	21.899	1	290.830	1		9	37.454	1	16.029	1		9		9
									2010-04-03T18:00:00.000	1	0003	1	31.348	1	299.443	1		9	37.466	1	15.986	1		9		9
									2010-04-03T21:00:00.000	1	0003	1	19.409	1	333.721	1		9	37.483	1	15.822	1		9		9
									2010-04-04T00:00:00.000	1	0003	1	27.393	1	359.561	1		9	37.490	1	15.742	1		9		9
									2010-04-04T03:00:00.000	1	0003	1	28.345	1	36.826	1		9	37.510	1	15.706	1		9		9
									2010-04-04T06:00:00.000	1	0003	1	32.373	1	84.287	1		9	37.532	1	15.767	1		9		9
									2010-04-04T09:00:00.000	1	0003	1	22.412	1	90.000	1		9	37.522	1	15.797	1		9		9
									2010-04-04T12:00:00.000	1	0003	1	22.339	1	194.766	3		9	37.517	1	15.870	1		9		9
									2010-04-04T15:00:00.000	1	0003	1	20.068	1	260.244	1		9	37.517	1	15.870	1		9		9
									2010-04-04T18:00:00.000	1	0003	1	21.313	1	273.779	1		9	37.444	1	16.255	1		9		9
									2010-04-04T21:00:00.000	1	0003	1	22.339	1	352.266	3		9	37.532	1	16.157	1		9		9
									2010-04-05T00:00:00.000	1	0003	1	16.846	1	32.344	1		9	37.556	1	16.084	1		9		9
									2010-04-05T03:00:00.000	1	0003	1	28.271	1	89.385	3		9	37.593	1	15.931	1		9		9
									2010-04-05T06:00:00.000	1	0003	1	29.443	1	176.924	3		9	37.610	1	15.938	1		9		9
									2010-04-05T09:00:00.000	1	0003	1	29.443	1	262.178	1		9	37.566	1	15.999	1		9		9
									2010-04-05T12:00:00.000	1	0003	1	21.460	1	227.461	1		9	37.571	1	16.066	1		9		9
									2010-04-05T15:00:00.000	1	0003	1	19.922	1	287.227	1		9	37.573	1	16.383	1		9		9
									2010-04-05T18:00:00.000	1	0003	1	21.753	1	287.666	1		9	37.483	1	16.462	1		9		9
									2010-04-05T21:00:00.000	1	0003	1	29.517	1	337.676	1		9	37.434	1	16.194	1		9		9
									2010-04-06T00:00:00.000	1	0003	1	22.119	1	321.768	1		9	37.429	1	16.194	1		9		9
									2010-04-06T03:00:00.000	1	0003	1	12.964	1	299.531	1		9	37.493	1	16.139	1		9		9
									2010-04-06T06:00:00.000	1	0003	1	21.533	1	319.131	1		9	37.520	1	15.956	1		9		9
