
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	time_ISO8601 [YYYY-MM-DDThh:mm:ss.sss]	QV:SEADATANET	DEPH [meter]	QV:SEADATANET	PRES [decibar=10000 pascals]	QV:SEADATANET	HCSP [meter/second]	QV:SEADATANET	HCDT [degree]	QV:SEADATANET	PSAL [P.S.U.]	QV:SEADATANET	TEMP [Celsius degree]	QV:SEADATANET	TUR4 [N.T.U Nephelo Turb. Unit]	QV:SEADATANET	DOX1 [ml/l]	QV:SEADATANET	CPH1 [milligram/m3]	QV:SEADATANET
POSEIDON	00050	*	2011-05-01T00:00:00.000	+21.596000	+36.825500	GN36201105PYL_00050_269_D90	269	1681.0	2011-05-01T00:00:00.000	1	0050	1		9		9		9	38.891	1	16.743	1		9		9		9
									2011-05-01T03:00:00.000	1	0050	1		9		9		9	38.830	1	16.763	1		9		9		9
									2011-05-01T06:00:00.000	1	0050	1		9		9		9	38.846	1	16.733	1		9		9		9
									2011-05-01T09:00:00.000	1	0050	1		9		9		9	38.852	1	16.763	1		9		9		9
									2011-05-01T12:00:00.000	1	0050	1		9		9		9	38.838	1	16.787	1		9		9		9
									2011-05-01T15:00:00.000	1	0050	1		9		9		9	38.838	1	16.772	1		9		9		9
									2011-05-01T18:00:00.000	1	0050	1		9		9		9	38.843	1	16.738	1		9		9		9
									2011-05-01T21:00:00.000	1	0050	1		9		9		9	38.816	1	16.807	1		9		9		9
									2011-05-02T00:00:00.000	1	0050	1		9		9		9	38.799	1	16.641	1		9		9		9
									2011-05-02T03:00:00.000	1	0050	1		9		9		9	38.919	1	16.465	1		9		9		9
									2011-05-02T06:00:00.000	1	0050	1		9		9		9	38.857	1	16.562	1		9		9		9
									2011-05-02T09:00:00.000	1	0050	1		9		9		9	38.786	1	16.763	1		9		9		9
									2011-05-02T12:00:00.000	1	0050	1		9		9		9	38.800	1	16.689	1		9		9		9
									2011-05-02T15:00:00.000	1	0050	1		9		9		9	38.767	1	16.768	1		9		9		9
									2011-05-02T18:00:00.000	1	0050	1		9		9		9	38.775	1	16.704	1		9		9		9
									2011-05-02T21:00:00.000	1	0050	1		9		9		9	38.893	1	16.562	1		9		9		9
									2011-05-03T00:00:00.000	1	0050	1		9		9		9	38.849	1	16.675	1		9		9		9
									2011-05-03T03:00:00.000	1	0050	1		9		9		9	38.853	1	16.548	1		9		9		9
									2011-05-03T06:00:00.000	1	0050	1		9		9		9	38.831	1	16.602	1		9		9		9
									2011-05-03T09:00:00.000	1	0050	1		9		9		9	38.797	1	16.646	1		9		9		9
									2011-05-03T12:00:00.000	1	0050	1		9		9		9	38.852	1	16.504	1		9		9		9
									2011-05-03T15:00:00.000	1	0050	1		9		9		9	38.805	1	16.411	1		9		9		9
									2011-05-03T18:00:00.000	1	0050	1		9		9		9	38.865	1	16.621	1		9		9		9
									2011-05-03T21:00:00.000	1	0050	1		9		9		9	38.837	1	16.689	1		9		9		9
									2011-05-04T00:00:00.000	1	0050	1		9		9		9	38.881	1	16.597	1		9		9		9
									2011-05-04T03:00:00.000	1	0050	1		9		9		9	38.866	1	16.816	1		9		9		9
									2011-05-04T06:00:00.000	1	0050	1		9		9		9	38.881	1	16.592	1		9		9		9
									2011-05-04T09:00:00.000	1	0050	1		9		9		9	38.879	1	16.665	1		9		9		9
									2011-05-04T12:00:00.000	1	0050	1		9		9		9	38.916	1	16.587	1		9		9		9
									2011-05-04T15:00:00.000	1	0050	1		9		9		9	38.900	1	16.602	1		9		9		9
									2011-05-04T18:00:00.000	1	0050	1		9		9		9	38.857	1	16.733	1		9		9		9
									2011-05-04T21:00:00.000	1	0050	1		9		9		9	38.901	1	16.631	1		9		9		9
									2011-05-05T00:00:00.000	1	0050	1		9		9		9	38.934	1	16.665	1		9		9		9
									2011-05-05T03:00:00.000	1	0050	1		9		9		9	38.937	1	16.689	1		9		9		9
									2011-05-05T06:00:00.000	1	0050	1		9		9		9	38.931	1	16.680	1		9		9		9
									2011-05-05T09:00:00.000	1	0050	1		9		9		9	38.937	1	16.611	1		9		9		9
									2011-05-05T12:00:00.000	1	0050	1		9		9		9	38.925	1	16.719	1		9		9		9
									2011-05-05T15:00:00.000	1	0050	1		9		9		9	38.917	1	16.719	1		9		9		9
									2011-05-05T18:00:00.000	1	0050	1		9		9		9	38.929	1	16.680	1		9		9		9
									2011-05-05T21:00:00.000	1	0050	1		9		9		9	38.929	1	16.709	1		9		9		9
									2011-05-06T00:00:00.000	1	0050	1		9		9		9	38.926	1	16.719	1		9		9		9
									2011-05-06T03:00:00.000	1	0050	1		9		9		9	38.929	1	16.699	1		9		9		9
									2011-05-06T06:00:00.000	1	0050	1		9		9		9	38.929	1	16.724	1		9		9		9
									2011-05-06T09:00:00.000	1	0050	1		9		9		9	38.931	1	16.704	1		9		9		9
									2011-05-06T12:00:00.000	1	0050	1		9		9		9	38.931	1	16.724	1		9		9		9
									2011-05-06T15:00:00.000	1	0050	1		9		9		9	38.932	1	16.694	1		9		9		9
									2011-05-06T18:00:00.000	1	0050	1		9		9		9	38.931	3	16.611	1		9		9		9
									2011-05-06T21:00:00.000	1	0050	1		9		9		9	38.891	1	16.714	1		9		9		9
									2011-05-07T00:00:00.000	1	0050	1		9		9		9	38.915	1	16.694	1		9		9		9
									2011-05-07T03:00:00.000	1	0050	1		9		9		9	38.912	1	16.738	1		9		9		9
									2011-05-07T06:00:00.000	1	0050	1		9		9		9	38.928	1	16.729	1		9		9		9
									2011-05-07T09:00:00.000	1	0050	1		9		9		9	38.929	1	16.763	1		9		9		9
									2011-05-07T12:00:00.000	1	0050	1		9		9		9	38.929	1	16.772	1		9		9		9
									2011-05-07T15:00:00.000	1	0050	1		9		9		9	38.891	1	16.768	1		9		9		9
									2011-05-07T18:00:00.000	1	0050	1		9		9		9	38.904	1	16.733	1		9		9		9
									2011-05-07T21:00:00.000	1	0050	1		9		9		9	38.916	1	16.797	1		9		9		9
									2011-05-08T00:00:00.000	1	0050	1		9		9		9	38.901	1	16.821	1		9		9		9
									2011-05-08T03:00:00.000	1	0050	1		9		9		9	38.907	1	16.831	1		9		9		9
									2011-05-08T06:00:00.000	1	0050	1		9		9		9	38.910	1	16.772	1		9		9		9
									2011-05-08T09:00:00.000	1	0050	1		9		9		9	38.925	1	16.792	1		9		9		9
									2011-05-08T12:00:00.000	1	0050	1		9		9		9	38.909	1	16.816	1		9		9		9
									2011-05-08T15:00:00.000	1	0050	1		9		9		9	38.888	1	16.860	1		9		9		9
									2011-05-08T18:00:00.000	1	0050	1		9		9		9	38.876	1	16.885	1		9		9		9
									2011-05-08T21:00:00.000	1	0050	1		9		9		9	38.887	1	16.802	1		9		9		9
									2011-05-09T00:00:00.000	1	0050	1		9		9		9	38.878	1	16.812	1		9		9		9
									2011-05-09T03:00:00.000	1	0050	1		9		9		9	38.894	1	16.748	1		9		9		9
									2011-05-09T06:00:00.000	1	0050	1		9		9		9	38.896	1	16.748	1		9		9		9
									2011-05-09T09:00:00.000	1	0050	1		9		9		9	38.894	1	16.748	1		9		9		9
									2011-05-09T12:00:00.000	1	0050	1		9		9		9	38.869	1	16.860	1		9		9		9
									2011-05-09T15:00:00.000	1	0050	1		9		9		9	38.856	1	16.865	1		9		9		9
									2011-05-09T18:00:00.000	1	0050	1		9		9		9	38.830	1	16.768	1		9		9		9
									2011-05-09T21:00:00.000	1	0050	1		9		9		9	38.815	1	16.372	1		9		9		9
									2011-05-10T00:00:00.000	1	0050	1		9		9		9	38.805	1	16.636	1		9		9		9
									2011-05-10T03:00:00.000	1	0050	1		9		9		9	38.866	1	16.743	1		9		9		9
									2011-05-10T06:00:00.000	1	0050	1		9		9		9	38.816	1	16.743	1		9		9		9
									2011-05-10T09:00:00.000	1	0050	1		9		9		9	38.815	1	16.680	1		9		9		9
									2011-05-10T12:00:00.000	1	0050	1		9		9		9	38.850	1	16.914	1		9		9		9
									2011-05-10T15:00:00.000	1	0050	1		9		9		9	38.831	1	16.562	1		9		9		9
									2011-05-10T18:00:00.000	1	0050	1		9		9		9	38.876	1	16.704	1		9		9		9
									2011-05-10T21:00:00.000	1	0050	1		9		9		9	38.879	1	16.729	1		9		9		9
									2011-05-11T00:00:00.000	1	0050	1		9		9		9	38.830	1	16.694	1		9		9		9
									2011-05-11T03:00:00.000	1	0050	1		9		9		9	38.849	1	16.885	1		9		9		9
									2011-05-11T06:00:00.000	1	0050	1		9		9		9	38.778	1	16.606	1		9		9		9
									2011-05-11T09:00:00.000	1	0050	1		9		9		9	38.742	1	16.377	1		9		9		9
									2011-05-11T12:00:00.000	1	0050	1		9		9		9	38.909	1	16.611	1		9		9		9
									2011-05-11T15:00:00.000	1	0050	1		9		9		9	38.727	1	16.284	1		9		9		9
									2011-05-11T18:00:00.000	1	0050	1		9		9		9	38.730	1	16.431	1		9		9		9
									2011-05-11T21:00:00.000	1	0050	1		9		9		9	38.730	1	16.333	1		9		9		9
									2011-05-12T00:00:00.000	1	0050	1		9		9		9	38.881	1	16.592	1		9		9		9
									2011-05-12T03:00:00.000	1	0050	1		9		9		9	38.871	1	16.362	1		9		9		9
									2011-05-12T06:00:00.000	1	0050	1		9		9		9	38.799	1	16.489	1		9		9		9
									2011-05-12T09:00:00.000	1	0050	1		9		9		9	38.874	1	16.494	1		9		9		9
									2011-05-12T12:00:00.000	1	0050	1		9		9		9	38.830	1	16.724	1		9		9		9
									2011-05-12T15:00:00.000	1	0050	1		9		9		9	38.816	1	16.426	1		9		9		9
									2011-05-12T18:00:00.000	1	0050	1		9		9		9	38.819	1	16.401	1		9		9		9
									2011-05-12T21:00:00.000	1	0050	1		9		9		9	38.897	1	16.685	1		9		9		9
									2011-05-13T00:00:00.000	1	0050	1		9		9		9	38.912	1	16.680	1		9		9		9
									2011-05-13T03:00:00.000	1	0050	1		9		9		9	38.907	1	16.709	1		9		9		9
									2011-05-13T06:00:00.000	1	0050	1		9		9		9	38.912	1	16.689	1		9		9		9
									2011-05-13T09:00:00.000	1	0050	1		9		9		9	38.912	1	16.670	1		9		9		9
									2011-05-13T12:00:00.000	1	0050	1		9		9		9	38.894	1	16.689	1		9		9		9
									2011-05-13T15:00:00.000	1	0050	1		9		9		9	38.915	1	16.743	1		9		9		9
									2011-05-13T18:00:00.000	1	0050	1		9		9		9	38.771	1	16.152	1		9		9		9
									2011-05-13T21:00:00.000	1	0050	1		9		9		9	38.860	1	16.333	1		9		9		9
									2011-05-14T00:00:00.000	1	0050	1		9		9		9	38.790	1	16.162	1		9		9		9
									2011-05-14T03:00:00.000	1	0050	1		9		9		9	38.897	1	16.714	1		9		9		9
									2011-05-14T06:00:00.000	1	0050	1		9		9		9	38.945	1	16.567	1		9		9		9
									2011-05-14T09:00:00.000	1	0050	1		9		9		9	38.929	1	16.714	1		9		9		9
									2011-05-14T12:00:00.000	1	0050	1		9		9		9	38.967	1	16.636	1		9		9		9
									2011-05-14T15:00:00.000	1	0050	1		9		9		9	38.950	1	16.616	1		9		9		9
									2011-05-14T18:00:00.000	1	0050	1		9		9		9	38.862	1	16.357	1		9		9		9
									2011-05-14T21:00:00.000	1	0050	1		9		9		9	38.973	1	16.582	1		9		9		9
									2011-05-15T00:00:00.000	1	0050	1		9		9		9	38.950	1	16.704	1		9		9		9
									2011-05-15T03:00:00.000	1	0050	1		9		9		9	38.972	1	16.548	1		9		9		9
									2011-05-15T06:00:00.000	1	0050	1		9		9		9	38.964	1	16.538	1		9		9		9
									2011-05-15T09:00:00.000	1	0050	1		9		9		9	38.966	1	16.553	1		9		9		9
									2011-05-15T12:00:00.000	1	0050	1		9		9		9	38.964	1	16.587	1		9		9		9
									2011-05-15T15:00:00.000	1	0050	1		9		9		9	38.938	1	16.309	1		9		9		9
									2011-05-15T18:00:00.000	1	0050	1		9		9		9	38.966	1	16.489	1		9		9		9
									2011-05-15T21:00:00.000	1	0050	1		9		9		9	38.975	1	16.528	1		9		9		9
									2011-05-16T00:00:00.000	1	0050	1		9		9		9	38.986	1	16.543	1		9		9		9
